# Oyatie nested dot-worktree unique-content archive
# created_utc	2026-08-04T02:11:16.409538Z
# generated files, secret/credential files, build outputs, and merged PR-body scratch are intentionally excluded
source_worktree	source_branch	source_head	classification	source_path	archive_path	sha256	bytes
.claude/worktrees/wf_18a9e839-868-1	worktree-wf_18a9e839-868-1	628ffa7091aff5bc940870c40b8e091bc562bf3b	tracked_missing_snapshot	ci/facade/hook-wiring/src/lib.rs	preserved/dot-claude-worktrees/wf_18a9e839-868-1/ci/facade/hook-wiring/src/lib.rs	a680bd652ad63330bccab799b254cd20a016cb8f0e413076d3bed81b386b3771	7773
.claude/worktrees/wf_18a9e839-868-1	worktree-wf_18a9e839-868-1	628ffa7091aff5bc940870c40b8e091bc562bf3b	tracked_missing_snapshot	ci/facade/hook-wiring/src/merge_driver_registration.rs	preserved/dot-claude-worktrees/wf_18a9e839-868-1/ci/facade/hook-wiring/src/merge_driver_registration.rs	9eb426e34eb649369eece8241c60ff03ebf2e3e33a7315937208a9d84507df02	13525
.claude/worktrees/wf_18a9e839-868-1	worktree-wf_18a9e839-868-1	628ffa7091aff5bc940870c40b8e091bc562bf3b	tracked_missing_snapshot	ci/facade/hook-wiring/tests/enforcement_liveness.rs	preserved/dot-claude-worktrees/wf_18a9e839-868-1/ci/facade/hook-wiring/tests/enforcement_liveness.rs	b3f616caa980392c94373a68b1fe69dd8982775afb0cbc2bb3cf09442f23f9c0	26279
.claude/worktrees/wf_18a9e839-868-1	worktree-wf_18a9e839-868-1	628ffa7091aff5bc940870c40b8e091bc562bf3b	tracked_missing_snapshot	tools/fixup-ledger-merge-driver-app/README.md	preserved/dot-claude-worktrees/wf_18a9e839-868-1/tools/fixup-ledger-merge-driver-app/README.md	f53b34503be20d6882985011ce3ebf7ffae4564ba7d0607e7659be66ce4eab2f	5070
.claude/worktrees/wf_18a9e839-868-1	worktree-wf_18a9e839-868-1	628ffa7091aff5bc940870c40b8e091bc562bf3b	tracked_missing_snapshot	tools/hooks/merge-drivers.gitconfig	preserved/dot-claude-worktrees/wf_18a9e839-868-1/tools/hooks/merge-drivers.gitconfig	c24b1d3590ec7731f210c28c1346ac993e6209035bade947cc4366924868d9e3	4393
.claude/worktrees/wf_18a9e839-868-1	worktree-wf_18a9e839-868-1	628ffa7091aff5bc940870c40b8e091bc562bf3b	tracked_missing_snapshot	tools/oya-cargo-lock-merge-driver-app/README.md	preserved/dot-claude-worktrees/wf_18a9e839-868-1/tools/oya-cargo-lock-merge-driver-app/README.md	214eed453237ba63f3652da7b30c86577e06645dd13035e9fafff6d166f3a3d3	1139
.claude/worktrees/wf_18a9e839-868-1	worktree-wf_18a9e839-868-1	628ffa7091aff5bc940870c40b8e091bc562bf3b	tracked_missing_snapshot	tools/oya-friction-ledger-merge-driver-app/README.md	preserved/dot-claude-worktrees/wf_18a9e839-868-1/tools/oya-friction-ledger-merge-driver-app/README.md	160a2eba3837a5478e0893d55dd2bf2dad2b0d2ca634d1737264541dd7c7c498	5688
.claude/worktrees/wf_18a9e839-868-4	worktree-wf_18a9e839-868-4	628ffa7091aff5bc940870c40b8e091bc562bf3b	tracked_missing_snapshot	specs/reorg/ci-tide-move-plan.json	preserved/dot-claude-worktrees/wf_18a9e839-868-4/specs/reorg/ci-tide-move-plan.json	47da2379302fe0885a58f14128152ff9a4ce63c8396fd24ea4ebec29b183035a	2739
.claude/worktrees/wf_445e1ee6-043-2	worktree-wf_445e1ee6-043-2	09c574f864d91a0c6c51aff6e655cfe1ffff9c36	untracked_unique	oya/intelligence/crates/oya-intelligence-architecture-map-app/src/main.rs	preserved/dot-claude-worktrees/wf_445e1ee6-043-2/oya/intelligence/crates/oya-intelligence-architecture-map-app/src/main.rs	eaffe3551d6543ba297deae83feaace389add4cef8be466616fcdfdd99bb5800	2888
.claude/worktrees/wf_445e1ee6-043-2	worktree-wf_445e1ee6-043-2	09c574f864d91a0c6c51aff6e655cfe1ffff9c36	untracked_unique	oya/intelligence/crates/oya-intelligence-architecture-map-app/tests/regeneration.rs	preserved/dot-claude-worktrees/wf_445e1ee6-043-2/oya/intelligence/crates/oya-intelligence-architecture-map-app/tests/regeneration.rs	f827a51ffa36c25be977836231e14c5ccb66916eb4903a21679ab8260e95b0d1	3057
.claude/worktrees/wf_445e1ee6-043-3	worktree-wf_445e1ee6-043-3	09c574f864d91a0c6c51aff6e655cfe1ffff9c36	tracked_missing_snapshot	.github/workflows/oya-ci-required.yml	preserved/dot-claude-worktrees/wf_445e1ee6-043-3/.github/workflows/oya-ci-required.yml	619f17aae490bb23021a0953f02e7aea6e49fb93bb459b5a630dae5d56e26828	96370
.claude/worktrees/wf_445e1ee6-043-3	worktree-wf_445e1ee6-043-3	09c574f864d91a0c6c51aff6e655cfe1ffff9c36	tracked_missing_snapshot	ci/facade/crate-registration/BUCK	preserved/dot-claude-worktrees/wf_445e1ee6-043-3/ci/facade/crate-registration/BUCK	2f225e85dc246dc8d8d31e87fd73ea3379f17bb01a0c1f4a4f15279a9079fa3e	2294
.claude/worktrees/wf_445e1ee6-043-3	worktree-wf_445e1ee6-043-3	09c574f864d91a0c6c51aff6e655cfe1ffff9c36	tracked_missing_snapshot	ci/facade/crate-registration/src/lib.rs	preserved/dot-claude-worktrees/wf_445e1ee6-043-3/ci/facade/crate-registration/src/lib.rs	f683702d066ca1e3612dbe02f1732209721b736abf2797f03a6e2c246e1005c4	87333
.claude/worktrees/wf_445e1ee6-043-3	worktree-wf_445e1ee6-043-3	09c574f864d91a0c6c51aff6e655cfe1ffff9c36	tracked_missing_snapshot	ci/facade/crate-registration/tests/born_accounting_liveness.rs	preserved/dot-claude-worktrees/wf_445e1ee6-043-3/ci/facade/crate-registration/tests/born_accounting_liveness.rs	2c54c88691300b889be228d3c762c4044e4e905c11d3a1702703876a59dcb07e	5434
.claude/worktrees/wf_445e1ee6-043-3	worktree-wf_445e1ee6-043-3	09c574f864d91a0c6c51aff6e655cfe1ffff9c36	tracked_missing_snapshot	docs/decisions/ADR-0568-born-accounting-register-crate-registrar-kernel.md	preserved/dot-claude-worktrees/wf_445e1ee6-043-3/docs/decisions/ADR-0568-born-accounting-register-crate-registrar-kernel.md	f0f00d9ebff8a3895519cceab2e487b736d914a24e769599ed5ae1be8c69de35	9026
.claude/worktrees/wf_f66bf3ee-51a-1	feat/cloud-intel-g0-billing-canary	3a4a9238bee53bf442b74564941be04f5edbfb7d	untracked_unique	intelligence/core/kernel/src/billing_bucket.rs	preserved/dot-claude-worktrees/wf_f66bf3ee-51a-1/intelligence/core/kernel/src/billing_bucket.rs	f223340d64e6a6514e9b462a3d28fb96996a8283f20aba455a4f3f41300bf4c9	22400
.worktrees/t_1cb9bacc	agent/architecture-map-producer-parity	1d21a7fd5fbc29d6853b3863a6d2680e6ac44224	untracked_unique	marketplace/facade/dev-cli/tests/architecture_map_emit_cli.rs	preserved/dot-worktrees/t_1cb9bacc/marketplace/facade/dev-cli/tests/architecture_map_emit_cli.rs	50cf83251933a601d106267c38f67993b3ed99ae8fe69740aed818feb7db7f3c	2003
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	scripts/tests/calendar_prd_red_fixture_contract_check.py	preserved/dot-worktrees/t_7b437a23-calendar-build/scripts/tests/calendar_prd_red_fixture_contract_check.py	24d662e7f4895415606c89a5b4ffcb52f4b70f74fb22ed329afc8c57e41538f0	26956
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/red-fixtures.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/red-fixtures.json	b320cd7ea854dba9f80825db2999730723f6d324e3078a6dc98bb3f8e2a2d5fc	16973
.worktrees/t_7b437a23-calendar-build	work-hermes-t_7b437a23-calendar-build	c52bdb09ea337de103b05317de0c120f2b7a3e45	untracked_unique	specs/fixtures/calendar-prd/replay/ac/calendar-ac01-work-event-org-pillar-audit.fixture.json	preserved/dot-worktrees/t_7b437a23-calendar-build/specs/fixtures/calendar-prd/replay/ac/calendar-ac01-work-event-org-pillar-audit.fixture.json	288cec6b68f38e56de2b7239ce9c0f0d43cd252e2bf40d2721bc59675f431376	1398
