system-ephemeral-grow	VolumeConfig	EPHEMERAL	-	1073741824	2147483648	true	-	-	kind=VolumeConfig;name=EPHEMERAL;min=1073741824;max=2147483648;grow=true;selector=-	EFI:System:0:0:-:-:vfat;META:System:1:0:-:-:-;STATE:System:2:0:-:-:xfs;EPHEMERAL:System:3:1073741824:2147483648:true:xfs
system-ephemeral-negative-relative	VolumeConfig	EPHEMERAL	-	1073741824	-25%	true	-	-	kind=VolumeConfig;name=EPHEMERAL;min=1073741824;max=-25%;grow=true;selector=-	EFI:System:0:0:-:-:vfat;META:System:1:0:-:-:-;STATE:System:2:0:-:-:xfs;EPHEMERAL:System:3:1073741824:-25%:true:xfs
user-data-default-fs	UserVolumeConfig	Data-01	-	536870912	-	-	disk.transport=="nvme"	-	kind=UserVolumeConfig;name=Data-01;id=u-Data-01;type=partition;min=536870912;max=-;grow=-;selector=disk.transport=="nvme";fs=xfs	EFI:System:0:0:-:-:vfat;META:System:1:0:-:-:-;STATE:System:2:0:-:-:xfs;EPHEMERAL:System:3:0:-:-:xfs;u-Data-01:User:100:536870912:-:-:xfs
user-logs-ext4-min-default	UserVolumeConfig	logs	-	1	1073741824	-	disk.transport=="sata"	ext4	kind=UserVolumeConfig;name=logs;id=u-logs;type=partition;min=1;max=1073741824;grow=-;selector=disk.transport=="sata";fs=ext4	EFI:System:0:0:-:-:vfat;META:System:1:0:-:-:-;STATE:System:2:0:-:-:xfs;EPHEMERAL:System:3:0:-:-:xfs;u-logs:User:100:104857600:1073741824:-:ext4
image-cache-projectable	VolumeConfig	IMAGECACHE	-	104857600	-	-	-	-	kind=VolumeConfig;name=IMAGECACHE;min=104857600;max=-;grow=-;selector=-	EFI:System:0:0:-:-:vfat;META:System:1:0:-:-:-;STATE:System:2:0:-:-:xfs;EPHEMERAL:System:3:0:-:-:xfs;IMAGECACHE:System:4:104857600:1073741824:false:ext4
relative-max-projectable	UserVolumeConfig	data	-	-	80%	-	disk.transport=="nvme"	xfs	kind=UserVolumeConfig;name=data;id=u-data;type=partition;min=-;max=80%;grow=-;selector=disk.transport=="nvme";fs=xfs	EFI:System:0:0:-:-:vfat;META:System:1:0:-:-:-;STATE:System:2:0:-:-:xfs;EPHEMERAL:System:3:0:-:-:xfs;u-data:User:100:104857600:80%:-:xfs
negative-max-projectable	UserVolumeConfig	reserve	-	-	-1073741824	-	disk.transport=="nvme"	xfs	kind=UserVolumeConfig;name=reserve;id=u-reserve;type=partition;min=-;max=-1073741824;grow=-;selector=disk.transport=="nvme";fs=xfs	EFI:System:0:0:-:-:vfat;META:System:1:0:-:-:-;STATE:System:2:0:-:-:xfs;EPHEMERAL:System:3:0:-:-:xfs;u-reserve:User:100:104857600:-1073741824:-:xfs
btrfs-unprojectable	UserVolumeConfig	bdata	-	104857600	-	-	disk.transport=="nvme"	btrfs	kind=UserVolumeConfig;name=bdata;id=u-bdata;type=partition;min=104857600;max=-;grow=-;selector=disk.transport=="nvme";fs=btrfs	error=unsupported: UserVolumeConfig bdata filesystem btrfs is parsed but not yet supported by talos-block
invalid-selector-fail-closed	UserVolumeConfig	bad	-	104857600	-	-	disk.transport==	xfs	error=invalid: UserVolumeConfig.provisioning.diskSelector.match is invalid: invalid: expected CEL identifier at byte 16 in "disk.transport=="	error=invalid: UserVolumeConfig.provisioning.diskSelector.match is invalid: invalid: expected CEL identifier at byte 16 in "disk.transport=="
user-raw-disk-exact-one	UserVolumeConfig	rawdisk	disk	-	-	-	disk.transport=="nvme"	ext4	kind=UserVolumeConfig;name=rawdisk;id=u-rawdisk;type=disk;min=-;max=-;grow=-;selector=disk.transport=="nvme";fs=ext4	EFI:System:0:0:-:-:vfat;META:System:1:0:-:-:-;STATE:System:2:0:-:-:xfs;EPHEMERAL:System:3:0:-:-:xfs;u-rawdisk:User:100:0:-:-:ext4
