BondMode	0	balance-rr
BondMode	1	active-backup
BondMode	2	balance-xor
BondMode	3	broadcast
BondMode	4	802.3ad
BondMode	5	balance-tlb
BondMode	6	balance-alb
BondMode-parse	balance-rr	0
BondMode-parse	active-backup	1
BondMode-parse	balance-xor	2
BondMode-parse	broadcast	3
BondMode-parse	802.3ad	4
BondMode-parse	balance-tlb	5
BondMode-parse	balance-alb	6
BondMode-parse	__nope__	error
ARPValidate	0	none
ARPValidate	1	active
ARPValidate	2	backup
ARPValidate	3	all
ARPValidate	4	filter
ARPValidate	5	filter-active
ARPValidate	6	filter-backup
ARPValidate-parse	none	0
ARPValidate-parse	active	1
ARPValidate-parse	backup	2
ARPValidate-parse	all	3
ARPValidate-parse	filter	4
ARPValidate-parse	filter-active	5
ARPValidate-parse	filter-backup	6
ARPValidate-parse	__nope__	error
ADSelect	0	stable
ADSelect	1	bandwidth
ADSelect	2	count
ADSelect-parse	stable	0
ADSelect-parse	bandwidth	1
ADSelect-parse	count	2
ADSelect-parse	__nope__	error
FailOverMAC	0	none
FailOverMAC	1	active
FailOverMAC	2	follow
FailOverMAC-parse	none	0
FailOverMAC-parse	active	1
FailOverMAC-parse	follow	2
FailOverMAC-parse	__nope__	error
