# Oyatie glossary vocabulary ignored uppercase prose words. Format: <token>\t<rationale>
# Use only for ordinary uppercase words, table/status values, or repository artifact names that are not acronyms.
AFTER	emphatic ordinary prose sequencing word, not an acronym
AGENTS	repository artifact basename AGENTS.md, not an acronym
ALL	emphatic ordinary prose word, not an acronym
ALLOW	policy decision enum value, not an acronym
ALSO	emphatic ordinary prose word, not an acronym
ANALYTICS	axis/common product word used as uppercase UI label, not an acronym
AND	emphatic ordinary conjunction or filename component, not an acronym
BEHAVIORAL	ordinary adjective used as uppercase label, not an acronym
BLAMELESS	incident template emphasis word, not an acronym
BLOCK	gate status value, not an acronym
BLOCKER	gate severity/status value, not an acronym
BLOCKING	gate status adjective, not an acronym
BLOCKS	dependency table column label, not an acronym
BOTH	emphatic ordinary prose word, not an acronym
CHANGELOG	repository artifact basename, not an acronym
CHANGES	ordinary table/status word, not an acronym
CHARTER	team document basename, not an acronym
CHILDREN	ordinary table/status word, not an acronym
CLAUDE	repository artifact basename CLAUDE.md, not an acronym
CODEOWNERS	repository artifact basename, not an acronym
COMPLEMENT	ordinary product-positioning word, not an acronym
COMPLIANCE	ordinary domain word used as uppercase label, not an acronym
CONSENT	ordinary privacy-domain word used as uppercase label, not an acronym
CONSTITUTION	repository artifact basename, not an acronym
CONTEXT	repository artifact basename/context label, not an acronym
DENY	policy decision enum value, not an acronym
DESIGN	repository artifact basename, not an acronym
DOCUMENTATION	repository artifact basename DOCUMENTATION.md, not an acronym
DRAFT	document lifecycle status, not an acronym
HARD	ordinary emphasis adjective/status label, not an acronym
IN	uppercase ordinary preposition, not an acronym
KEEP	vendor decision table status, not an acronym
NEVER	ordinary emphasis word, not an acronym
NO	table/status boolean value, not an acronym
OK	table/status acceptance value, not an acronym
OR	uppercase ordinary conjunction, not an acronym
README	repository artifact basename, not an acronym
RETIRED	retired-term table/status value, not an acronym
ROADMAP	repository artifact basename ROADMAP.md, not an acronym
SPEC	repository artifact basename SPEC.md, not an acronym
TEMPLATE	repository artifact basename or template label, not an acronym
TOOLCHAIN	repository artifact basename TOOLCHAIN.md, not an acronym
UNDER	ordinary uppercase preposition, not an acronym
YES	doc-catalog boolean table value, not an acronym
ENUM	ordinary programming term for enumeration, not an acronym
OWN	ordinary ownership adjective in ADR prose, not an acronym
THREE	ordinary count word in ADR prose, not an acronym
ALREADY	uppercase UI status word, not an acronym
ALTO	Spanish uppercase broadcast word, not an acronym
BACKUP	uppercase UI fallback label, not an acronym
BROADCAST	uppercase UI action label, not an acronym
CALL	uppercase UI action word, not an acronym
CALLED	uppercase UI status word, not an acronym
DECKS	uppercase UI recipient-count noun, not an acronym
ESCALATE	uppercase UI action word, not an acronym
INCIDENT	uppercase UI state noun, not an acronym
LAUNCH	uppercase story phase heading, not an acronym
LOCKED	uppercase UI state word, not an acronym
NW	compass direction abbreviation in evidence labels, not an acronym
PEOPLE	uppercase UI recipient-count noun, not an acronym
RECORD	uppercase UI action word, not an acronym
REVIEW	uppercase UI status word, not an acronym
SEND	uppercase UI action word, not an acronym
WHAT	uppercase form-section label, not an acronym
WHEN	uppercase form-section label, not an acronym
WHO	uppercase form-section label, not an acronym
WSW	compass direction abbreviation in weather labels, not an acronym
ARCHIVED	uppercase lifecycle status value, not an acronym
PROVISIONED	uppercase lifecycle status value, not an acronym
SETTLED	uppercase lifecycle status value, not an acronym
SETTLING	uppercase lifecycle status value, not an acronym
UNPROVISIONED	uppercase lifecycle status value, not an acronym
