operation_id	contract_path	runtime_crate	source_path	symbol	status_type	evidence_surface	test_path	response_schemas
invokeCapability	contracts/openapi/foundry/capability-v1.yaml	intelligence-api	intelligence/core/api/src/lib.rs	invoke_capability_from_api	CapabilityInvokeApiStatus	foundry.capability.invoke	intelligence/core/api/tests/capability_invoke_api.rs	202=CapabilityInvokeApiSuccessResponse;400=CapabilityInvokeApiErrorResponse;403=CapabilityInvokeApiErrorResponse
createCloudIamRole	contracts/openapi/cloud/cloud-iam-v1.yaml	cloud-iam-api	crates/cloud-iam-api/src/lib.rs	create_cloud_iam_role_from_api	CloudIamRoleCreateApiStatus	cloud.iam.role.create	crates/cloud-iam-api/tests/cloud_iam_api.rs	201=CloudIamRoleCreateSuccessResponse;400=CloudIamApiErrorResponse;403=CloudIamApiErrorResponse;409=CloudIamApiErrorResponse;422=CloudIamApiErrorResponse
issueCloudIamStsToken	contracts/openapi/cloud/cloud-iam-v1.yaml	cloud-iam-api	crates/cloud-iam-api/src/lib.rs	issue_cloud_iam_sts_token_from_api	CloudIamStsTokenApiStatus	cloud.iam.sts.token	crates/cloud-iam-api/tests/cloud_iam_api.rs	200=CloudIamStsTokenSuccessResponse;400=CloudIamApiErrorResponse;403=CloudIamApiErrorResponse;409=CloudIamApiErrorResponse;422=CloudIamApiErrorResponse
authorizeCloudKmsEncrypt	contracts/openapi/cloud/cloud-kms-v1.yaml	cloud-kms-api	crates/cloud-kms-api/src/lib.rs	authorize_cloud_kms_encrypt_from_api	CloudKmsCryptoApiStatus	cloud.kms.encrypt	crates/cloud-kms-api/tests/cloud_kms_api.rs	200=CloudKmsCryptoSuccessResponse;400=CloudKmsApiErrorResponse;403=CloudKmsApiErrorResponse;404=CloudKmsApiErrorResponse;409=CloudKmsApiErrorResponse;422=CloudKmsApiErrorResponse
authorizeCloudKmsDecrypt	contracts/openapi/cloud/cloud-kms-v1.yaml	cloud-kms-api	crates/cloud-kms-api/src/lib.rs	authorize_cloud_kms_decrypt_from_api	CloudKmsCryptoApiStatus	cloud.kms.decrypt	crates/cloud-kms-api/tests/cloud_kms_api.rs	200=CloudKmsCryptoSuccessResponse;400=CloudKmsApiErrorResponse;403=CloudKmsApiErrorResponse;404=CloudKmsApiErrorResponse;409=CloudKmsApiErrorResponse;422=CloudKmsApiErrorResponse
listCloudRegions	contracts/openapi/cloud/cloud-region-v1.yaml	cloud-region-api	crates/cloud-region-api/src/lib.rs	list_cloud_regions_from_api	CloudRegionListApiStatus	cloud.region.list	crates/cloud-region-api/tests/cloud_region_api.rs	200=CloudRegionListSuccessResponse;400=CloudRegionApiErrorResponse;403=CloudRegionApiErrorResponse;404=CloudRegionApiErrorResponse
listCloudAzs	contracts/openapi/cloud/cloud-region-v1.yaml	cloud-region-api	crates/cloud-region-api/src/lib.rs	list_cloud_azs_from_api	CloudRegionListApiStatus	cloud.az.list	crates/cloud-region-api/tests/cloud_region_api.rs	200=CloudAzListSuccessResponse;400=CloudRegionApiErrorResponse;403=CloudRegionApiErrorResponse;404=CloudRegionApiErrorResponse
createCloudStorageBlockVolume	contracts/openapi/cloud/cloud-storage-block-v1.yaml	cloud-storage-block-api	crates/cloud-storage-block-api/src/lib.rs	create_cloud_storage_block_volume_from_api	CloudStorageBlockCreateApiStatus	cloud.storage.block.create	crates/cloud-storage-block-api/tests/cloud_storage_block_api.rs	201=CloudStorageBlockVolumeCreateSuccessResponse;400=CloudStorageBlockApiErrorResponse;403=CloudStorageBlockApiErrorResponse;404=CloudStorageBlockApiErrorResponse;409=CloudStorageBlockApiErrorResponse;422=CloudStorageBlockApiErrorResponse
putCloudStorageObject	contracts/openapi/cloud/cloud-storage-object-v1.yaml	cloud-storage-object-api	crates/cloud-storage-object-api/src/lib.rs	put_cloud_storage_object_from_api	CloudStorageObjectPutApiStatus	cloud.storage.object.put	crates/cloud-storage-object-api/tests/cloud_storage_object_api.rs	201=CloudStorageObjectPutSuccessResponse;400=CloudStorageObjectApiErrorResponse;403=CloudStorageObjectApiErrorResponse;404=CloudStorageObjectApiErrorResponse;409=CloudStorageObjectApiErrorResponse;422=CloudStorageObjectApiErrorResponse
getCloudStorageObject	contracts/openapi/cloud/cloud-storage-object-v1.yaml	cloud-storage-object-api	crates/cloud-storage-object-api/src/lib.rs	get_cloud_storage_object_from_api	CloudStorageObjectGetApiStatus	cloud.storage.object.get	crates/cloud-storage-object-api/tests/cloud_storage_object_api.rs	200=CloudStorageObjectGetSuccessResponse;400=CloudStorageObjectApiErrorResponse;403=CloudStorageObjectApiErrorResponse;404=CloudStorageObjectApiErrorResponse
