flow_id	current_shape	target_saga_id	owner_team	priority	tracking_ip
tenant-onboard	synchronous-chain	onboard_saga	axis-workspace	P0	tasks/IP-T01-tenant-onboard-saga-shape.md
tenant-suspend	ad-hoc-on-error-compensate	suspend_saga	axis-workspace	P0	tasks/IP-T02-tenant-suspend-saga-shape.md
tenant-migrate-cell	synchronous-chain	migrate_saga	ops-dr-capacity	P1	tasks/IP-T03-tenant-migrate-saga-shape.md
tenant-offboard	ad-hoc-on-error-compensate	offboard_saga	council-privacy	P0	tasks/IP-T04-tenant-offboard-saga-shape.md
tenant-delete	dsr-cascade-existing	delete_saga	council-privacy	P0	tasks/IP-T05-tenant-delete-saga-shape.md
billing-period-close	synchronous-chain	billing_close_saga	ops-finops	P1	tasks/IP-B01-billing-close-saga-shape.md
billing-credit-issue	ad-hoc-on-error-compensate	billing_credit_saga	ops-finops	P2	tasks/IP-B02-billing-credit-saga-shape.md
foundry-capability-publish	synchronous-chain	capability_publish_saga	axis-foundry	P1	tasks/IP-F01-capability-publish-saga-shape.md
foundry-eval-run	ad-hoc-on-error-compensate	eval_run_saga	axis-foundry	P2	tasks/IP-F02-eval-run-saga-shape.md
foundry-secret-rotate	synchronous-chain	secret_rotate_saga	ops-security	P1	tasks/IP-F03-secret-rotate-saga-shape.md
search-index-rebuild	ad-hoc-on-error-compensate	index_rebuild_saga	axis-search	P2	tasks/IP-S01-search-index-rebuild-saga-shape.md
ads-campaign-publish	synchronous-chain	campaign_publish_saga	axis-ads-analytics	P2	tasks/IP-A01-ads-campaign-publish-saga-shape.md
ontology-bulk-import	synchronous-chain	ontology_bulk_import_saga	council-architecture	P1	tasks/IP-O01-ontology-bulk-import-saga-shape.md
workspace-tenant-export	ad-hoc-on-error-compensate	tenant_export_saga	axis-workspace	P1	tasks/IP-W01-workspace-tenant-export-saga-shape.md
workflow-publish-version	synchronous-chain	workflow_publish_saga	axis-workspace	P1	tasks/IP-W02-workflow-publish-saga-shape.md
cloud-cell-decommission	synchronous-chain	cell_decommission_saga	ops-dr-capacity	P0	tasks/IP-C01-cell-decommission-saga-shape.md
cloud-cell-provision	synchronous-chain	cell_provision_saga	ops-dr-capacity	P0	tasks/IP-C02-cell-provision-saga-shape.md
cloud-region-failover-drill	ad-hoc-on-error-compensate	region_failover_drill_saga	ops-dr-capacity	P1	tasks/IP-C03-region-failover-drill-saga-shape.md
connect-bulk-message-send	synchronous-chain	bulk_message_send_saga	axis-saas	P2	tasks/IP-X01-connect-bulk-message-send-saga-shape.md
mail-list-import	synchronous-chain	mail_list_import_saga	axis-workspace	P3	tasks/IP-M01-mail-list-import-saga-shape.md
drive-bulk-move	synchronous-chain	drive_bulk_move_saga	axis-workspace	P3	tasks/IP-D01-drive-bulk-move-saga-shape.md
calendar-bulk-share	synchronous-chain	calendar_bulk_share_saga	axis-workspace	P3	tasks/IP-CL01-calendar-bulk-share-saga-shape.md
meet-recording-archive	synchronous-chain	meet_recording_archive_saga	axis-workspace	P3	tasks/IP-MR01-meet-recording-archive-saga-shape.md
forms-bulk-publish	synchronous-chain	forms_bulk_publish_saga	axis-workspace	P3	tasks/IP-FO01-forms-bulk-publish-saga-shape.md
