pack_id	overlay_path	manifest_path	overlay_authored	regulator_signoff	primary_provider	secondary_provider	status	owner_team
kr	cloud/cloud-iac/sovereign-cloud-overlays/kr/sovereign-cloud-overlay.yaml	cloud/cloud-iac/sovereign-cloud-overlays/kr/manifest.json	true	pending	naver-cloud	kt-cloud	authored-awaiting-regulator-signoff	cloud-cloud-iac+ops-compliance
eu	cloud/cloud-iac/sovereign-cloud-overlays/eu/sovereign-cloud-overlay.yaml		true	pending	ovh	aws	authored-awaiting-regulator-signoff	cloud-cloud-iac+ops-compliance
ksa	cloud/cloud-iac/sovereign-cloud-overlays/ksa/sovereign-cloud-overlay.yaml		true	pending	stc-cloud	mobily-cloud	authored-awaiting-regulator-signoff	cloud-cloud-iac+ops-compliance
us-government	cloud/cloud-iac/sovereign-cloud-overlays/us-government/sovereign-cloud-overlay.yaml		true	pending	aws-gov	azure-government	authored-awaiting-regulator-signoff	cloud-cloud-iac+ops-compliance
us			true	N/A	aws	gcp	non-sovereign-active	axis-cloud
global			true	N/A	aws	gcp	non-sovereign-active	axis-cloud
jp		cloud/cloud-iac/sovereign-cloud-overlays/jp/manifest.json	false	N/A	sakura	aws	not-yet-authored	cloud-cloud-iac+ops-compliance
in			false	N/A	aws	azure	not-yet-authored	cloud-cloud-iac+ops-compliance
br			false	N/A	aws	azure	not-yet-authored	cloud-cloud-iac+ops-compliance
ae			false	N/A	stc-cloud	aws	not-yet-authored	cloud-cloud-iac+ops-compliance
