microservice	per_ip_declared	per_api_key_declared	per_user_declared	per_tenant_declared	rollout_status	owner_team
foundry	default	default	default	default	using-defaults	axis-foundry
observability	default	default	default	default	using-defaults	ops-sre-reliability
tenancy	default	default	default	default	using-defaults	axis-workspace
audit-chain	default	N/A-internal	default	default	using-defaults	council-architecture
workflow-engine	default	default	default	default	using-defaults	axis-workspace
workflow-studio	default	default	default	default	using-defaults	axis-workspace
ontology	default	default	default	default	using-defaults	council-architecture
cloud-iac	default	N/A-internal	default	default	using-defaults	axis-cloud
calendar	default	default	default	default	using-defaults	axis-workspace
drive	default	default	default	default	using-defaults	axis-workspace
mail	default	default	default	default	using-defaults	axis-workspace
meet	default	default	default	default	using-defaults	axis-workspace
messenger	default	default	default	default	using-defaults	axis-saas
notes	default	default	default	default	using-defaults	axis-workspace
sheets	default	default	default	default	using-defaults	axis-workspace
slides	default	default	default	default	using-defaults	axis-workspace
sites	default	default	default	default	using-defaults	axis-workspace
forms	default	default	default	default	using-defaults	axis-workspace
tasks	default	default	default	default	using-defaults	axis-workspace
translate	default	default	default	default	using-defaults	axis-workspace
connect	default	default	default	default	using-defaults	axis-saas
shorts	default	default	default	default	using-defaults	axis-saas
social	default	default	default	default	using-defaults	axis-saas
community	default	default	default	default	using-defaults	axis-saas
recordings	default	default	default	default	using-defaults	axis-workspace
application	default	default	default	default	using-defaults	axis-workspace
governance	default	default	default	default	using-defaults	council-architecture
network	default	N/A-internal	default	default	using-defaults	axis-cloud
cloud-k8s	default	N/A-internal	default	default	using-defaults	axis-cloud
cloud-secrets	default	N/A-internal	default	default	using-defaults	ops-security
cell	default	N/A-internal	default	default	using-defaults	ops-dr-capacity
anonymous	default	default	default	default	using-defaults	council-privacy
